"Points:0","Points:1","Points:2","arc_length","raw_data_1","raw_data_2","u","v","zeta"
0.970976,0.0844324643799,0,0.738786532982,2.999994,4.249982,-2.62536803229,0.31674246274,5.24925137155e-07
0.970976,0.0738786279683,0,0.749340369393,2.999994,3.5,-1.86955759087,0.622638248344,5.24925137155e-07
0.970976,0.0738783746702,0,0.749340622691,3,3.500006,-1.86955144376,0.622641491441,1.05727905426e-07
0.970976,0.0633245382586,0,0.759894459103,3.249994,3.999994,-1.2728059313,0.582614510524,1.05727905426e-07
0.970976,0.0633242849604,0,0.759894712401,3.250006,4,-1.27279799408,0.582613002795,1.01103848251e-07
0.970976,0.0527704485488,0,0.770448548813,3.5,3.750006,-0.958742369679,0.491996284399,1.01103848251e-07
0.970976,0.0527701952507,0,0.770448802111,3.499994,3.75,-0.958734492521,0.491993561235,1.6689435995e-07
0.970976,0.0422163588391,0,0.781002638522,3.000006,3.999994,-0.622959951428,0.536535140303,1.6689435995e-07
0.970976,0.0422161055409,0,0.781002891821,3.000012,4,-0.622950876204,0.53652944202,6.89596672078e-08
0.970976,0.0316622691293,0,0.791556728232,2.750018,3.000024,-0.296237676486,0.422373904476,6.89596672078e-08
0.970976,0.0316620158311,0,0.79155698153,2.750006,3.000024,-0.296238734537,0.422375278333,0
0.970976,0.0211081794195,0,0.802110817942,3,3.750006,-0.167578699198,0.419634368656,0
